,page_url,bedrooms,baths,garage,date,price,location,property,area_marla,area_sqft
160,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-599983,3,3,0,March 31 2022,75000,DHA Phase 2 ,Upper Portion ,20.0,5444.0
161,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-599963,3,3,0,March 31 2022,65000,DHA Phase 2 ,Upper Portion ,20.0,5444.0
162,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-578292,6,6,3,March 31 2022,229999,DHA Phase 2 ,House ,20.0,5444.0
163,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-578286,3,3,0,March 31 2022,65000,DHA Phase 2 ,Upper portion ,20.0,5444.0
164,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-lower-portion-for-rent-578282,3,3,2,March 31 2022,75000,DHA Phase 2 ,Lower Portion ,20.0,5444.0
165,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-lower-portion-for-rent-575848,3,3,0,March 31 2022,75000,DHA Phase 2 ,Lower Portion ,20.0,5444.0
166,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-598154,3,3,1,March 30 2022,80000,G-13 ,Upper Portion ,10.0,2722.0
167,https://www.graana.com/property/islamabad-g-13-7-marla-lower-portion-for-rent-599346,2,2,0,March 30 2022,47000,G-13 ,Lower Portion ,7.0,1905.4
168,https://www.graana.com/property/islamabad-e-11-1-kanal-lower-portion-for-rent-598170,3,3,1,March 30 2022,130000,E-11 ,Lower Portion ,20.0,5444.0
169,https://www.graana.com/property/islamabad-e-11-8-marla-house-for-rent-598169,5,5,1,March 30 2022,200000,E-11 ,House ,8.0,2177.6
170,https://www.graana.com/property/islamabad-g-14-1-kanal-upper-portion-for-rent-599242,3,3,1,March 30 2022,85000,G-14 ,Upper Portion ,20.0,5444.0
171,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-598363,5,5,0,March 30 2022,200000,DHA Phase 2 ,House ,20.0,5444.0
172,https://www.graana.com/property/islamabad-f-6-500-sqyd-upper-portion-for-rent-583680,3,3,2,March 30 2022,225000,F-6 ,Upper Portion ,1.836540545305619,499.9063364321895
173,https://www.graana.com/property/islamabad-e-11-1150-sqft-apartment-for-rent-597991,3,2,1,March 29 2022,130000,E-11 ,Apartment ,4.224043254202924,1149.784573794036
174,https://www.graana.com/property/islamabad-e-11-1600-sqft-apartment-for-rent-597066,4,4,1,March 29 2022,140000,E-11 ,Apartment ,5.87692974497798,1599.700276583006
175,https://www.graana.com/property/islamabad-burma-town-635-sqft-house-for-rent-596416,2,2,1,March 29 2022,9000,Burma Town ,House ,2.332406492538136,634.8810472688806
176,https://www.graana.com/property/islamabad-g-9-14-marla-house-for-rent-289828,5,5,1,March 29 2022,150000,G-9 ,House ,14.0,3810.8
177,"https://www.graana.com/property/islamabad-multi-gardens-b-17,-block-b-1050-sqft-apartment-for-rent-594788",2,2,0,March 29 2022,24000,Multi Gardens B-17 Block-B ,Apartment ,3.8567351451418,1049.803306507598
178,https://www.graana.com/property/islamabad-e-11-4-900-sqft-apartment-for-rent-594300,2,2,1,March 28 2022,95000,E-11/4 ,Apartment ,3.305772981550114,899.8314055779409
179,https://www.graana.com/property/islamabad-e-11-4-900-sqft-apartment-for-rent-594302,2,2,1,March 28 2022,95000,E-11/4 ,Apartment ,3.305772981550114,899.8314055779409
180,https://www.graana.com/property/islamabad-f-10-3-1066-sqyd-upper-portion-for-rent-601094,4,4,2,April 4 2022,250000,F-10/3 ,Upper Portion ,3.9155044425915793,1065.8003092734275
181,https://www.graana.com/property/islamabad-g-9-1-14-marla-upper-portion-for-rent-539173,2,2,0,April 4 2022,70000,G-9/1 ,Upper Portion ,14.0,3810.8
182,https://www.graana.com/property/islamabad-g-9-10-marla-upper-portion-for-rent-539170,1,1,0,April 4 2022,32000,G-9 ,Upper Portion ,10.0,2722.0
183,https://www.graana.com/property/islamabad-f-8-1-10-marla-upper-portion-for-rent-538064,4,4,1,April 4 2022,150000,F-8/1 ,Upper Portion ,10.0,2722.0
184,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-538007,2,2,0,April 4 2022,42000,G-13/2 ,Upper Portion ,7.0,1905.4
185,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-537959,3,3,0,April 4 2022,70000,G-13/4 ,Lower Portion ,10.0,2722.0
186,https://www.graana.com/property/islamabad-f-8-1-1022-sqyd-upper-portion-for-rent-535417,2,2,2,April 4 2022,260000,F-8/1 ,Yd. Upper Portion ,3.753888874604685,1021.8085516673952
187,https://www.graana.com/property/islamabad-f-8-1-2-kanal-basement-for-rent-535414,3,3,2,April 4 2022,200000,F-8/1 ,Basement ,40.0,10888.0
