,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
24433,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998567-9914-1.html,Flat,4000000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,3.6 Marla,3.6,980.1,0
24434,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998574-9914-1.html,Flat,3600000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,3.6 Marla,3.6,980.1,0
24435,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998583-9914-1.html,Flat,6500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,6.7 Marla,6.7,1824.08,0
24436,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998586-9914-1.html,Flat,6500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,6.7 Marla,6.7,1824.08,0
24437,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998601-9914-1.html,Flat,6000000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,7.3 Marla,7.3,1987.43,0
24438,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998606-9914-1.html,Flat,3500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,5.1 Marla,5.1,1388.48,0
24439,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998615-9914-1.html,Flat,4100000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,3.6 Marla,3.6,980.1,0
24460,https://www.zameen.com/Property/d_17_paradise_villa_apartments_paradise_villa_apartment__available_for_rent-16992838-11039-4.html,Flat,20000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",3,7.1 Marla,7.1,1932.98,3
24461,https://www.zameen.com/Property/d_17_margalla_view_housing_society_tulip_apartment_available_for_rent-16992839-3160-4.html,Flat,18000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",3,5.3 Marla,5.3,1442.93,3
24462,https://www.zameen.com/Property/d_17_margalla_view_housing_society_prime_arcade_flat_available_for_rent-16992842-3160-4.html,Flat,16000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",2,3.8 Marla,3.8,1034.55,2
24463,https://www.zameen.com/Property/d_17_margalla_view_housing_society_city_center_flat_available_for_rent-16992844-3160-4.html,Flat,16000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
24464,https://www.zameen.com/Property/d_17_margalla_view_housing_society_city_center_flat_available_for_rent-16992847-3160-4.html,Flat,16000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
24465,https://www.zameen.com/Property/dha_defence_phase_2_defence_executive_apartments_three_bedroom_apartment_for_rent-16992874-9615-4.html,Flat,35000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,9.1 Marla,9.1,2477.48,3
24521,https://www.zameen.com/Property/islamabad_diplomatic_enclave_diplomatic_enclave_one_bed_studio_apartment_for_rent-16994856-429-4.html,Flat,45000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",1,2 Marla,2.0,544.5,1
24537,https://www.zameen.com/Property/islamabad_f_8_a_fully_furnished_apartments_on_20th_floor_on_rnet_in_tower_a_centaurus-16995740-166-4.html,Flat,390000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",4,11.8 Marla,11.8,3212.56,3
24540,https://www.zameen.com/Property/f_10_f_10_markaz_flat_for_rent-16996012-3280-4.html,Flat,55000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",0,6.2 Marla,6.2,1687.96,0
