,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
17610,21000000,Satellite Town,5,5,1361,2,2,1
17613,56000000,Satellite Town,6,8,2994,2,2,1
17614,6500000,Satellite Town,2,2,544,1,1,0
17615,24000000,Satellite Town,3,3,1905,2,2,1
17620,24500000,Satellite Town,5,4,1905,2,2,1
17621,15000000,Satellite Town,3,4,1089,1,2,0
17625,16000000,Satellite Town,4,4,1361,2,2,1
17628,30000000,Satellite Town,6,6,1905,2,2,1
17629,21000000,Satellite Town,4,4,1089,1,2,0
17630,30000000,Satellite Town,8,7,1905,2,2,1
17631,30000000,Satellite Town,6,6,1905,2,2,1
17632,35000000,Satellite Town,6,6,1905,2,2,1
17633,30000000,Satellite Town,8,7,1905,2,2,1
17634,27000000,Satellite Town,3,5,1905,2,2,1
17637,16000000,Satellite Town,3,4,1089,1,2,0
17639,75000000,Satellite Town,7,6,4083,2,2,1
17640,180000000,Satellite Town,4,8,11434,2,2,1
17641,37000000,Satellite Town,8,7,1905,2,2,1
17642,66500000,Satellite Town,6,6,4083,2,2,1
17644,45000000,Satellite Town,6,6,2722,2,2,1
17645,17500000,Satellite Town,6,6,952,1,1,0
17647,27000000,Satellite Town,4,4,1987,2,2,1
17648,13000000,Satellite Town,2,2,1361,2,2,1
17651,23000000,Satellite Town,5,4,1361,2,2,1
17654,22500000,Satellite Town,6,6,1361,2,2,1
17656,34000000,Satellite Town,4,5,2041,2,2,1
17657,35000000,Satellite Town,6,6,1905,2,2,1
17660,15000000,Satellite Town,4,4,816,1,1,0
17662,37500000,Satellite Town,7,7,2178,2,2,1
17663,26000000,Satellite Town,5,4,1905,2,2,1
17664,19000000,Satellite Town,4,4,1361,2,2,1
17670,16000000,Satellite Town,5,5,1089,1,2,0
17671,20500000,Satellite Town,7,6,1089,1,2,0
17672,69000000,Satellite Town,8,8,3811,2,2,1
17673,35000000,Satellite Town,6,6,1905,2,2,1
17674,21500000,Satellite Town,6,6,1497,2,2,1
17678,34500000,Satellite Town,5,4,2722,2,2,1
17679,95000000,Satellite Town,6,6,5445,2,2,1
17681,30000000,Satellite Town,6,6,1905,2,2,1
17682,14000000,Satellite Town,4,4,1089,1,2,0
17683,17500000,Satellite Town,4,4,1089,1,2,0
17685,18000000,Satellite Town,4,4,1361,2,2,1
17699,14000000,Satellite Town,3,4,1143,1,2,0
17701,18000000,Satellite Town,4,4,1361,2,2,1
17702,14000000,Satellite Town,2,2,1361,2,2,1
17705,20000000,Satellite Town,4,4,1089,1,2,0
17709,30000000,Satellite Town,6,6,1905,2,2,1
17710,55000000,Satellite Town,7,6,2913,2,2,1
17715,18000000,Satellite Town,4,4,1361,2,2,1
17716,4700000,other,3,2,1361,2,2,1
17717,8500000,other,4,4,2450,2,2,1
17718,9000000,other,5,5,2450,2,2,1
17719,5300000,other,4,4,1089,1,2,0
17720,18000000,other,5,5,2722,2,2,1
17721,19500000,other,4,4,2722,2,2,1
17722,17900000,other,6,5,2722,2,2,1
17723,7500000,other,4,4,1497,2,2,1
17724,6200000,other,4,4,1361,2,2,1
17725,6500000,other,4,4,1361,2,2,1
17726,2600000,other,2,2,544,1,1,0
17728,2600000,other,2,2,544,1,1,0
17730,6300000,Shaheen Town,3,3,1197,1,2,0
17731,11000000,Shaheen Town,6,6,1905,2,2,1
17732,7500000,Shaheen Town,3,2,2178,2,2,1
17733,9000000,Shaheen Town,4,4,2041,2,2,1
17735,3500000,Shaheen Town,2,4,680,1,1,0
17737,10000000,Shaheen Town,6,6,2994,2,2,1
17738,6650000,Shaheen Town,2,2,1361,2,2,1
17739,8000000,Shaheen Town,5,6,1361,2,2,1
17740,5500000,Shaheen Town,3,2,1361,2,2,1
17741,7800000,Shaheen Town,5,5,1361,2,2,1
17742,6500000,Shaheen Town,3,3,1361,2,2,1
17743,6200000,Shaheen Town,4,3,1361,2,2,1
17744,7500000,Shaheen Town,4,4,1361,2,2,1
17745,10700000,Shaheen Town,6,6,2967,2,2,1
17746,12000000,Shaheen Town,6,6,1905,2,2,1
17747,5500000,Shaheen Town,3,2,1361,2,2,1
17748,5500000,Shaheen Town,3,2,1361,2,2,1
17749,5000000,Shaheen Town,3,2,1225,1,2,0
17750,4500000,Shaheen Town,3,2,1361,2,2,1
17751,7000000,Shaheen Town,2,2,1361,2,2,1
