,Price,House_location,baths,beds,area
491,7500000,Bahria Town Rawalpindi,3,2,1225
492,2700000,Bahria Town Rawalpindi,1,1,653
493,6422000,Bahria Town Rawalpindi,2,2,1197
494,3500000,Bahria Town Rawalpindi,1,2,1361
495,2000000,Bahria Town Rawalpindi,1,2,952
496,5000000,Bahria Town Rawalpindi,2,2,1334
497,7500000,Bahria Town Rawalpindi,2,1,980
498,6200000,Bahria Town Rawalpindi,2,2,1143
499,6200000,Bahria Town Rawalpindi,2,2,1143
500,2700000,Bahria Town Rawalpindi,1,1,707
501,2200000,Bahria Town Rawalpindi,1,1,435
502,8000000,Bahria Town Rawalpindi,2,2,735
503,12500000,Bahria Town Rawalpindi,2,2,1089
504,2600000,Bahria Town Rawalpindi,2,2,735
505,2600000,Bahria Town Rawalpindi,1,2,952
506,3200000,Bahria Town Rawalpindi,1,1,762
507,12000000,Bahria Town Rawalpindi,1,1,898
508,12000000,Bahria Town Rawalpindi,1,1,898
509,2400000,Bahria Town Rawalpindi,1,2,1361
510,3400000,Bahria Town Rawalpindi,2,2,735
511,5000000,Bahria Town Rawalpindi,2,2,1197
512,5000000,Bahria Town Rawalpindi,2,2,898
513,16000000,Bahria Town Rawalpindi,4,3,3539
514,2700000,Bahria Town Rawalpindi,1,2,1361
515,2700000,Bahria Town Rawalpindi,1,2,816
516,14000000,Bahria Town Rawalpindi,3,2,1932
517,3000000,Bahria Town Rawalpindi,1,2,980
518,2150000,Bahria Town Rawalpindi,2,2,952
519,1900000,Bahria Town Rawalpindi,1,1,490
520,4500000,Bahria Town Rawalpindi,2,2,843
521,3450000,Bahria Town Rawalpindi,1,1,735
522,2350000,Bahria Town Rawalpindi,1,2,952
523,7500000,Bahria Town Rawalpindi,2,1,980
524,2950000,Bahria Town Rawalpindi,1,1,952
525,6700000,Bahria Town Rawalpindi,2,1,898
526,1300000,Bahria Town Rawalpindi,1,1,272
527,5700000,Bahria Town Rawalpindi,2,2,1334
528,4583000,Bahria Town Rawalpindi,1,1,735
529,4000000,Bahria Town Rawalpindi,1,1,789
