,Price,House_location,baths,beds,total_sqft,portion,garage
1216,90000,G-9,3,4,3811,1,2
1217,15000,Ghauri Town,3,2,1361,1,0
1219,50000,I-8,3,3,2722,1,1
1221,35000,Bahria Town,2,3,2722,1,1
1226,28000,I-10,2,2,1633,1,1
1228,100000,F-11,4,3,2722,1,1
1236,23000,I-9,2,3,1361,1,0
1237,30000,I-9,3,3,1361,1,0
1238,42000,G-13,3,3,2722,1,1
1239,28000,I-10,2,3,1633,1,1
1243,20000,FECHS,2,2,1905,1,1
1244,22000,Ghauri Town,2,3,2123,1,1
1245,31000,G-11,2,2,1089,1,0
1247,36500,G-11,2,2,1361,1,0
1249,35000,Shehzad Town,3,3,2178,1,1
1250,50000,Green Avenue,3,3,3267,1,2
1253,35000,Bahria Town,3,3,2722,1,1
1256,60000,I-8,3,3,3267,1,2
1258,27000,National Police Foundation O-9,3,3,2722,1,1
1259,25000,CBR Town,3,3,1905,1,1
1262,36000,G-11,2,2,2178,1,1
1263,30000,Soan Garden,3,3,2994,1,2
1264,25000,I-14,3,2,2178,1,1
1267,20000,I-14,3,3,1361,1,0
1270,65000,G-11,4,4,3865,1,2
1272,50000,F-11,3,3,2722,1,1
1283,25000,G-11,1,2,980,1,0
1284,40000,G-13,2,2,2178,1,1
1285,22000,G-11,1,2,980,1,0
1302,16000,Ghauri Town,3,2,1361,1,0
1305,50000,G-13,3,3,2722,1,1
1306,25000,G-11,1,2,980,1,0
1307,45000,G-9,2,2,3811,1,2
1315,35000,Lehtarar Road,3,3,3539,1,2
1323,28000,G-15,2,2,2178,1,1
1324,35000,other,3,3,3267,1,2
1325,15000,Ghauri Town,2,2,1361,1,0
1327,18000,other,2,2,1361,1,0
1329,60000,G-13,4,3,3811,1,2
1332,32000,Margalla Town,2,2,1633,1,1
1334,45000,G-10,2,2,1796,1,1
1338,80000,I-8,3,3,3865,1,2
1341,25000,F-17,3,3,1905,1,1
1345,35000,G-11,2,3,1905,1,1
1351,60000,G-9,4,4,3267,1,2
1354,13500,other,3,3,1361,1,0
1357,45000,G-9,2,2,3811,1,2
1361,35000,Bahria Town,3,3,2722,1,1
1362,25000,Soan Garden,4,3,1633,1,1
1363,28000,Korang Town,3,3,2450,1,1
1365,23000,G-13,2,2,1089,1,0
1367,27000,G-15,3,3,1905,1,1
1374,8000,CBR Town,1,1,3811,1,2
1378,30000,Shehzad Town,2,2,2178,1,1
1389,35000,G-11,2,2,2178,1,1
