,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
546,600 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-600-sqyd-house-for-rent-488169,4,4,4,F-6 Islamabad,March 8 2022,500000,F-6 ,600 Sqyd House , Rent,600,Sqyd House ,Sqyd,House 
547,2250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-8-2250-sqft-apartment-for-rent-530947,3,3,1,F-8 Islamabad,March 8 2022,340000,F-8 ,2250 Sqft Apartment , Rent,2250,Sqft Apartment ,Sqft,Apartment 
548,2250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-8-2250-sqft-apartment-for-rent-534460,3,3,1,F-8 Islamabad,March 8 2022,340000,F-8 ,2250 Sqft Apartment , Rent,2250,Sqft Apartment ,Sqft,Apartment 
549,500 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-upper-portion-for-rent-564407,2,2,2,F-7 Islamabad,March 8 2022,150000,F-7 ,500 Sqyd Upper Portion , Rent,500,Sqyd Upper Portion ,Sqyd,Upper Portion 
550,1000 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-8-1-1000-sqyd-house-for-rent-426114,10,10,6,F-8/1 Islamabad,March 8 2022,1000000,F-8/1 ,1000 Sq. Yd. House , Rent,1000,Sq. Yd. House ,Sq.,Yd. House 
551,400 Sq. Yd. Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-400-sqyd-upper-portion-for-rent-497229,2,2,1,F-6 Islamabad,March 8 2022,100000,F-6 ,400 Sq. Yd. Upper Portion , Rent,400,Sq. Yd. Upper Portion ,Sq.,Yd. Upper Portion 
552,1000 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-8-1000-sqyd-house-for-rent-431837,10,10,10,F-8 Islamabad,March 8 2022,1800000,F-8 ,1000 Sq. Yd. House , Rent,1000,Sq. Yd. House ,Sq.,Yd. House 
553,500 Sq. Yd. Upper Portion for Rent,https://www.graana.com/property/islamabad-f-8-500-sqyd-upper-portion-for-rent-431828,3,3,2,F-8 Islamabad,March 8 2022,225000,F-8 ,500 Sq. Yd. Upper Portion , Rent,500,Sq. Yd. Upper Portion ,Sq.,Yd. Upper Portion 
554,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-578849,3,3,1,DHA Phase 2 Islamabad,March 8 2022,110000,DHA Phase 2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
555,500 Sq. Yd. Upper Portion for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-upper-portion-for-rent-387131,3,3,0,F-7 Islamabad,March 8 2022,110000,F-7 ,500 Sq. Yd. Upper Portion , Rent,500,Sq. Yd. Upper Portion ,Sq.,Yd. Upper Portion 
