,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
10,810 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-dha-phase-2-810-sqft-apartment-for-rent-607045,2,2,0,DHA Phase 2 Islamabad,April 11 2022,130000,DHA Phase 2 ,810 Sqft Apartment , Rent,810,Sqft Apartment ,Sqft,Apartment 
11,10 Marla House for Sale,https://www.graana.com/property/islamabad-e-11-10-marla-house-for-rent-497057,6,7,2,E-11 Islamabad,April 11 2022,140000,E-11 ,10 Marla House , Sale,10,Marla House ,Marla,House 
12,6 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-11-1-6-marla-upper-portion-for-rent-497618,2,2,0,G-11/1 Islamabad,April 11 2022,60000,G-11/1 ,6 Marla Upper Portion , Rent,6,Marla Upper Portion ,Marla,Upper Portion 
13,1400 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-497307,2,2,1,E-11 Islamabad,April 11 2022,100000,E-11 ,1400 Sq. Ft. Apartment , Rent,1400,Sq. Ft. Apartment ,Sq.,Ft. Apartment 
14,1 Kanal House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-sector-e-1-kanal-house-for-rent-497353,5,5,2,Bahria Enclave Sector E Islamabad,April 11 2022,190000,Bahria Enclave Sector E ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
15,9 Marla House for Rent,https://www.graana.com/property/islamabad-g-14-4-9-marla-house-for-rent-497758,4,4,1,G-14/4 Islamabad,April 11 2022,50000,G-14/4 ,9 Marla House , Rent,9,Marla House ,Marla,House 
16,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1300-sqft-apartment-for-rent-606176,3,3,1,E-11/4 Islamabad,April 11 2022,110000,E-11/4 ,1300 Sqft Apartment , Rent,1300,Sqft Apartment ,Sqft,Apartment 
17,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-lower-portion-for-rent-606171,3,3,2,G-13 Islamabad,April 11 2022,65000,G-13 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
18,2150 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-2150-sqft-apartment-for-rent-605710,2,2,1,F-11 Islamabad,April 11 2022,130000,F-11 ,2150 Sqft Apartment , Rent,2150,Sqft Apartment ,Sqft,Apartment 
19,1250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1250-sqft-apartment-for-rent-605707,1,1,1,F-11 Islamabad,April 11 2022,85000,F-11 ,1250 Sqft Apartment , Rent,1250,Sqft Apartment ,Sqft,Apartment 
20,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-bani-gala-1-kanal-upper-portion-for-rent-605676,3,3,4,Bani Gala Islamabad,April 11 2022,55000,Bani Gala ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
21,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-5-1-kanal-upper-portion-for-rent-606592,3,3,1,DHA Phase 5 Islamabad,April 11 2022,75000,DHA Phase 5 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
22,1750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1750-sqft-apartment-for-rent-605585,2,2,1,F-11 Islamabad,April 8 2022,75000,F-11 ,1750 Sqft Apartment , Rent,1750,Sqft Apartment ,Sqft,Apartment 
23,1 Kanal House for Rent,https://www.graana.com/property/islamabad-g-13-1-kanal-house-for-rent-605008,0,0,0,G-13 Islamabad,April 8 2022,280000,G-13 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
24,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-604977,5,5,1,G-13 Islamabad,April 8 2022,120000,G-13 ,7 Marla House , Rent,7,Marla House ,Marla,House 
25,1000 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1000-sqft-apartment-for-rent-489234,3,3,1,DHA Phase 2 Islamabad,April 8 2022,90000,DHA Phase 2 ,1000 Sqft Apartment , Rent,1000,Sqft Apartment ,Sqft,Apartment 
26,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-2-10-marla-lower-portion-for-rent-497922,2,3,1,Bahria Town Phase 2 Islamabad,April 8 2022,160000,Bahria Town Phase 2 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
27,500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-6-500-sqft-apartment-for-rent-492946,1,1,1,Bahria Town Phase 6 Islamabad,April 8 2022,30000,Bahria Town Phase 6 ,500 Sqft Apartment , Rent,500,Sqft Apartment ,Sqft,Apartment 
28,1000 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-1000-sqft-apartment-for-rent-492951,2,2,1,Bahria Town Phase 4 Islamabad,April 8 2022,75000,Bahria Town Phase 4 ,1000 Sqft Apartment , Rent,1000,Sqft Apartment ,Sqft,Apartment 
29,10 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-10-marla-house-for-rent-486936,5,6,1,Bahria Town Phase 4 Islamabad,April 8 2022,90000,Bahria Town Phase 4 ,10 Marla House , Rent,10,Marla House ,Marla,House 
30,930 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-930-sqft-apartment-for-rent-606179,2,2,1,E-11/4 Islamabad,April 11 2022,30000,E-11/4 ,930 Sqft Apartment , Rent,930,Sqft Apartment ,Sqft,Apartment 
31,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1000-sqyd-house-for-rent-606890,7,7,2,F-7 Islamabad,April 11 2022,1700000,F-7 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
32,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-3-1000-sqyd-house-for-rent-606802,8,8,6,F-7/3 Islamabad,April 11 2022,1846000,F-7/3 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
33,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1000-sqyd-house-for-rent-606763,8,8,3,F-7 Islamabad,April 11 2022,1476000,F-7 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
34,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-4-10-marla-upper-portion-for-rent-606284,3,4,1,G-14/4 Islamabad,April 11 2022,75000,G-14/4 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
35,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-10-marla-house-for-rent-606283,6,7,2,G-13/1 Islamabad,April 11 2022,130000,G-13/1 ,10 Marla House , Rent,10,Marla House ,Marla,House 
36,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-lower-portion-for-rent-606137,3,2,1,G-13/1 Islamabad,April 11 2022,38000,G-13/1 ,4 Marla Lower Portion , Rent,4,Marla Lower Portion ,Marla,Lower Portion 
37,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-10-marla-upper-portion-for-rent-606281,3,4,1,G-13/1 Islamabad,April 11 2022,80000,G-13/1 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
38,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-605091,5,5,2,DHA Phase 2 Islamabad,April 8 2022,150000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
39,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-2-10-marla-upper-portion-for-rent-605156,3,3,0,Bahria Town Phase 2 Islamabad,April 8 2022,50000,Bahria Town Phase 2 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
40,500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-6-500-sqft-apartment-for-rent-487501,1,1,1,Bahria Town Phase 6 Islamabad,April 8 2022,35000,Bahria Town Phase 6 ,500 Sqft Apartment , Rent,500,Sqft Apartment ,Sqft,Apartment 
41,814 Sqft Furnished Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-814-sqft-apartment-for-rent-487419,1,2,1,Bahria Town Phase 1 Islamabad,April 8 2022,40000,Bahria Town Phase 1 ,814 Sqft Furnished Apartment , Rent,814,Sqft Furnished Apartment ,Sqft,Furnished Apartment 
42,1 Kanal Upper portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-1-kanal-upper-portion-for-rent-486926,3,3,2,Bahria Town Phase 1 Islamabad,April 8 2022,120000,Bahria Town Phase 1 ,1 Kanal Upper portion , Rent,1,Kanal Upper portion ,Kanal,Upper portion 
43,1 Kanal House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-3-1-kanal-house-for-rent-486937,6,6,2,Bahria Town Phase 3 Islamabad,April 8 2022,180000,Bahria Town Phase 3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
44,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-5-10-marla-upper-portion-for-rent-486929,3,3,1,Bahria Town Phase 5 Islamabad,April 8 2022,90000,Bahria Town Phase 5 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
45,6 Marla Apartment for Rent,https://www.graana.com/property/islamabad-f-7-6-marla-apartment-for-rent-604326,1,1,1,F-7 Islamabad,April 8 2022,90000,F-7 ,6 Marla Apartment , Rent,6,Marla Apartment ,Marla,Apartment 
46,5 Marla Apartment for Rent,https://www.graana.com/property/islamabad-f-6-5-marla-apartment-for-rent-604334,1,1,1,F-6 Islamabad,April 8 2022,70000,F-6 ,5 Marla Apartment , Rent,5,Marla Apartment ,Marla,Apartment 
47,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-islamabad-1-kanal-upper-portion-for-rent-604955,3,3,0,DHA Islamabad Islamabad,April 7 2022,70000,DHA ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
48,1170 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1170-sqft-apartment-for-rent-604003,2,2,1,F-11 Islamabad,April 6 2022,90000,F-11 ,1170 Sqft Apartment , Rent,1170,Sqft Apartment ,Sqft,Apartment 
49,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-10-marla-upper-portion-for-rent-603791,3,3,0,DHA Phase 2 Islamabad,April 6 2022,45000,DHA Phase 2 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
50,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-15-1-7-marla-house-for-rent-603947,4,4,1,G-15/1 Islamabad,April 6 2022,80000,G-15/1 ,7 Marla House , Rent,7,Marla House ,Marla,House 
51,10 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-1-10-marla-house-for-rent-528186,4,4,2,Bahria Town Phase 1 Islamabad,April 6 2022,110000,Bahria Town Phase 1 ,10 Marla House , Rent,10,Marla House ,Marla,House 
52,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-e-11-10-marla-upper-portion-for-rent-488071,2,2,1,E-11 Islamabad,April 6 2022,55000,E-11 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
53,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-2-1-kanal-lower-portion-for-rent-490233,3,3,1,E-11/2 Islamabad,April 6 2022,120000,E-11/2 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
54,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-1-kanal-lower-portion-for-rent-492501,3,3,1,E-11 Islamabad,April 6 2022,80000,E-11 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
55,1950 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1950-sqft-apartment-for-rent-447397,3,3,1,E-11/4 Islamabad,April 6 2022,70000,E-11/4 ,1950 Sq. Ft. Apartment , Rent,1950,Sq. Ft. Apartment ,Sq.,Ft. Apartment 
56,1700 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1700-sqft-apartment-for-rent-488290,3,3,1,E-11 Islamabad,April 6 2022,45000,E-11 ,1700 Sq. Ft. Apartment , Rent,1700,Sq. Ft. Apartment ,Sq.,Ft. Apartment 
57,1150 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1150-sqft-apartment-for-rent-492792,2,2,1,E-11 Islamabad,April 6 2022,36000,E-11 ,1150 Sq. Ft. Apartment , Rent,1150,Sq. Ft. Apartment ,Sq.,Ft. Apartment 
58,2400 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2400-sqft-apartment-for-rent-492663,4,4,1,E-11 Islamabad,April 6 2022,85000,E-11 ,2400 Sq. Ft. Apartment , Rent,2400,Sq. Ft. Apartment ,Sq.,Ft. Apartment 
59,700 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-700-sqft-apartment-for-rent-493844,1,1,1,E-11 Islamabad,April 6 2022,40000,E-11 ,700 Sq. Ft. Apartment , Rent,700,Sq. Ft. Apartment ,Sq.,Ft. Apartment 
60,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-605244,2,3,1,G-13/2 Islamabad,April 8 2022,48000,G-13/2 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
61,5 Marla House for Rent,https://www.graana.com/property/islamabad-national-police-foundation-5-marla-house-for-rent-605195,4,4,1,National Police Foundation Islamabad,April 8 2022,45000,National Police Foundation ,5 Marla House , Rent,5,Marla House ,Marla,House 
62,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-2-1-kanal-house-for-rent-604440,4,4,3,F-6/2 Islamabad,April 8 2022,430000,F-6/2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
63,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-605242,2,3,1,G-13/2 Islamabad,April 8 2022,50000,G-13/2 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
64,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-lower-portion-for-rent-604546,3,3,1,F-6/1 Islamabad,April 8 2022,270000,F-6/1 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
65,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-house-for-rent-604426,6,6,1,F-6/1 Islamabad,April 8 2022,500000,F-6/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
66,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-house-for-rent-604420,3,3,2,F-6/1 Islamabad,April 8 2022,270000,F-6/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
67,3000 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-g-5-3000-sqft-apartment-for-rent-605510,2,3,2,G-5 Islamabad,April 8 2022,275000,G-5 ,3000 Sqft Apartment , Rent,3000,Sqft Apartment ,Sqft,Apartment 
68,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-3-1000-sqyd-house-for-rent-605544,7,8,7,F-7/3 Islamabad,April 8 2022,1500000,F-7/3 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
69,1500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-7-1500-sqft-apartment-for-rent-605491,1,1,1,E-7 Islamabad,April 8 2022,250000,E-7 ,1500 Sqft Apartment , Rent,1500,Sqft Apartment ,Sqft,Apartment 
70,12 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-12-marla-house-for-rent-493286,6,7,3,G-13 Islamabad,April 6 2022,210000,G-13 ,12 Marla House , Rent,12,Marla House ,Marla,House 
71,10 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-basement-for-rent-494272,3,3,1,G-13 Islamabad,April 6 2022,50000,G-13 ,10 Marla Basement , Rent,10,Marla Basement ,Marla,Basement 
72,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-lower-portion-for-rent-493283,3,3,1,G-13 Islamabad,April 6 2022,80000,G-13 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
73,12 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-12-marla-lower-portion-for-rent-494271,3,3,1,G-13 Islamabad,April 6 2022,80000,G-13 ,12 Marla Lower Portion , Rent,12,Marla Lower Portion ,Marla,Lower Portion 
74,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-2-14-marla-lower-portion-for-rent-274662,3,3,1,F-6/2 Islamabad,April 5 2022,288000,F-6/2 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
75,18 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-3-18-marla-lower-portion-for-rent-283558,3,3,1,F-6/3 Islamabad,April 5 2022,278000,F-6/3 ,18 Marla Lower Portion , Rent,18,Marla Lower Portion ,Marla,Lower Portion 
76,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-14-marla-lower-portion-for-rent-274684,3,3,1,F-6 Islamabad,April 5 2022,276000,F-6 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
77,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-18-marla-upper-portion-for-rent-475605,2,2,0,F-6 Islamabad,April 5 2022,130000,F-6 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
78,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-kanal-upper-portion-for-rent-283861,2,2,1,F-6 Islamabad,April 5 2022,120000,F-6 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
79,500 Sq. Yd. Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-500-sqyd-upper-portion-for-rent-329769,3,3,2,F-6 Islamabad,April 5 2022,180000,F-6 ,500 Sq. Yd. Upper Portion , Rent,500,Sq. Yd. Upper Portion ,Sq.,Yd. Upper Portion 
80,2 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-4-2-kanal-upper-portion-for-rent-379034,3,3,5,F-6/4 Islamabad,April 5 2022,165000,F-6/4 ,2 Kanal Upper Portion , Rent,2,Kanal Upper Portion ,Kanal,Upper Portion 
81,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283510,3,4,1,F-6/1 Islamabad,April 5 2022,298000,F-6/1 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
82,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283619,3,4,2,F-6/1 Islamabad,April 5 2022,298000,F-6/1 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
83,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-14-marla-upper-portion-for-rent-283608,3,3,1,F-6 Islamabad,April 5 2022,290000,F-6 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
84,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283503,3,3,1,F-6/1 Islamabad,April 5 2022,290000,F-6/1 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
85,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-4-1-kanal-upper-portion-for-rent-283560,3,4,1,F-6/4 Islamabad,April 5 2022,314000,F-6/4 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
86,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-upper-portion-for-rent-283572,3,4,0,F-6/1 Islamabad,April 5 2022,310000,F-6/1 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
87,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283513,3,4,0,F-6/1 Islamabad,April 5 2022,295000,F-6/1 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
88,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-274669,3,3,1,F-6/1 Islamabad,April 5 2022,284000,F-6/1 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
89,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-18-marla-upper-portion-for-rent-283549,3,3,1,F-6 Islamabad,April 5 2022,284000,F-6 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
90,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-3-500-sqyd-house-for-rent-604957,4,5,4,F-6/3 Islamabad,April 8 2022,500000,F-6/3 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
91,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-3-1000-sqyd-house-for-rent-604842,4,5,7,F-8/3 Islamabad,April 8 2022,525000,F-8/3 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
92,1500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-g-5-1500-sqft-apartment-for-rent-604877,1,1,1,G-5 Islamabad,April 8 2022,120000,G-5 ,1500 Sqft Apartment , Rent,1500,Sqft Apartment ,Sqft,Apartment 
93,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-604185,3,3,1,DHA Phase 2 Islamabad,April 7 2022,150000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
94,666 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-3-666-sqyd-house-for-rent-604407,6,7,5,F-8/3 Islamabad,April 7 2022,700000,F-8/3 ,666 Sqyd House , Rent,666,Sqyd House ,Sqyd,House 
95,666 Sqyd Lower Portion for Rent,https://www.graana.com/property/islamabad-f-8-4-666-sqyd-lower-portion-for-rent-603982,3,4,4,F-8/4 Islamabad,April 7 2022,250000,F-8/4 ,666 Sqyd Lower Portion , Rent,666,Sqyd Lower Portion ,Sqyd,Lower Portion 
96,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-house-for-rent-603709,4,5,3,F-7 Islamabad,April 7 2022,700000,F-7 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
97,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-603348,3,3,1,DHA Phase 2 Islamabad,April 6 2022,180000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
98,666 Sqyd House for Rent,https://www.graana.com/property/islamabad-e-7-666-sqyd-house-for-rent-603775,2,2,1,E-7 Islamabad,April 6 2022,400000,E-7 ,666 Sqyd House , Rent,666,Sqyd House ,Sqyd,House 
99,444 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-444-sqyd-house-for-rent-603639,5,6,3,F-6 Islamabad,April 6 2022,750000,F-6 ,444 Sqyd House , Rent,444,Sqyd House ,Sqyd,House 
100,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-2-14-marla-upper-portion-for-rent-274672,3,3,1,F-6/2 Islamabad,April 5 2022,268000,F-6/2 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
101,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-1-kanal-house-for-rent-467145,3,4,8,F-6 Islamabad,April 5 2022,250000,F-6 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
102,2 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-3-2-kanal-house-for-rent-481634,8,8,2,F-6/3 Islamabad,April 5 2022,1400000,F-6/3 ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
103,14 Marla House for Rent,https://www.graana.com/property/islamabad-f-6-3-14-marla-house-for-rent-485499,6,6,1,F-6/3 Islamabad,April 5 2022,721000,F-6/3 ,14 Marla House , Rent,14,Marla House ,Marla,House 
104,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-3-1-kanal-house-for-rent-283613,5,5,1,F-6/3 Islamabad,April 5 2022,478000,F-6/3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
105,18 Marla House for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-house-for-rent-283611,4,5,0,F-6/1 Islamabad,April 5 2022,432000,F-6/1 ,18 Marla House , Rent,18,Marla House ,Marla,House 
106,18 Marla House for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-house-for-rent-283578,3,3,1,F-6/1 Islamabad,April 5 2022,282000,F-6/1 ,18 Marla House , Rent,18,Marla House ,Marla,House 
107,5 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-5-marla-lower-portion-for-rent-602391,2,2,1,E-11 Islamabad,April 5 2022,25000,E-11 ,5 Marla Lower Portion , Rent,5,Marla Lower Portion ,Marla,Lower Portion 
108,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-602392,1,1,1,E-11 Islamabad,April 5 2022,11000,E-11 ,450 Sqft Apartment , Rent,450,Sqft Apartment ,Sqft,Apartment 
109,1550 Sqft Penthouse for Rent,https://www.graana.com/property/islamabad-e-11-1550-sqft-penthouse-for-rent-597182,2,2,1,E-11 Islamabad,April 4 2022,150000,E-11 ,1550 Sqft Penthouse , Rent,1550,Sqft Penthouse ,Sqft,Penthouse 
110,2240 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-murree-expressway-2240-sqft-apartment-for-rent-600837,2,2,0,Murree Expressway Islamabad,April 4 2022,75000,Murree Expressway ,2240 Sqft Apartment , Rent,2240,Sqft Apartment ,Sqft,Apartment 
111,14 Marla House for Rent,https://www.graana.com/property/islamabad-f-11-14-marla-house-for-rent-600836,4,4,1,F-11 Islamabad,April 4 2022,200000,F-11 ,14 Marla House , Rent,14,Marla House ,Marla,House 
112,1750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1750-sqft-apartment-for-rent-600886,2,2,1,F-11 Islamabad,April 4 2022,70000,F-11 ,1750 Sqft Apartment , Rent,1750,Sqft Apartment ,Sqft,Apartment 
113,1250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1250-sqft-apartment-for-rent-600889,1,1,1,F-11 Islamabad,April 4 2022,90000,F-11 ,1250 Sqft Apartment , Rent,1250,Sqft Apartment ,Sqft,Apartment 
114,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-upper-portion-for-rent-600914,3,3,1,F-11 Islamabad,April 4 2022,200000,F-11 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
115,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-basement-for-rent-600920,3,3,1,F-11 Islamabad,April 4 2022,180000,F-11 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
